"ORDER","FAMILY","SCI_NAME","PRIMARY_COM_NAME","DECISION_FINAL","GENERAL_CAT"
"Passeriformes","Tyrannidae (Tyrant Flycatchers)","Tyrannus couchii","Couch's Kingbird","Person","human"
"Passeriformes","Tyrannidae (Tyrant Flycatchers)","Tyrannus dominicensis","Gray Kingbird","Both sexes physical trait","physical trait"
"Coraciiformes","Alcedinidae (Kingfishers)","Megaceryle alcyon","Belted Kingfisher","Female physical trait","physical trait"
"Passeriformes","Regulidae (Kinglets)","Regulus satrapa","Golden-crowned Kinglet","Both sexes physical trait","physical trait"
"Passeriformes","Regulidae (Kinglets)","Corthylio calendula","Ruby-crowned Kinglet","Male physical trait","physical trait"
"Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)","Ictinia mississippiensis","Mississippi Kite","Geographic Location","natural history"
"Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)","Elanoides forficatus","Swallow-tailed Kite","Both sexes physical trait","physical trait"
"Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)","Elanus leucurus","White-tailed Kite","Both sexes physical trait","physical trait"
"Charadriiformes","Laridae (Gulls, Terns, and Skimmers)","Rissa brevirostris","Red-legged Kittiwake","Both sexes physical trait","physical trait"
"Passeriformes","Alaudidae (Larks)","Eremophila alpestris","Horned Lark","Both sexes physical trait","physical trait"
"Gruiformes","Aramidae (Limpkin)","Aramus guarauna","Limpkin","Behavior","natural history"
"Passeriformes","Calcariidae (Longspurs and Snow Buntings)","Calcarius ornatus","Chestnut-collared Longspur","Male physical trait","physical trait"
"Passeriformes","Calcariidae (Longspurs and Snow Buntings)","Calcarius lapponicus","Lapland Longspur","Geographic Location","natural history"
"Passeriformes","Calcariidae (Longspurs and Snow Buntings)","Calcarius pictus","Smith's Longspur","Person","human"
"Gaviiformes","Gaviidae (Loons)","Gavia pacifica","Pacific Loon","Geographic Location","natural history"
"Gaviiformes","Gaviidae (Loons)","Gavia stellata","Red-throated Loon","Both sexes physical trait","physical trait"
"Gaviiformes","Gaviidae (Loons)","Gavia adamsii","Yellow-billed Loon","Both sexes physical trait","physical trait"
"Passeriformes","Corvidae (Crows, Jays, and Magpies)","Pica nuttalli","Yellow-billed Magpie","Both sexes physical trait","physical trait"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Anas platyrhynchos","Mallard","Local language","human"
"Passeriformes","Hirundinidae (Swallows)","Progne subis","Purple Martin","Both sexes physical trait","physical trait"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Lophodytes cucullatus","Hooded Merganser","Both sexes physical trait","physical trait"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Mergus serrator","Red-breasted Merganser","Male physical trait","physical trait"
"Charadriiformes","Alcidae (Auks, Murres, and Puffins)","Synthliboramphus antiquus","Ancient Murrelet","Both sexes physical trait","physical trait"
"Charadriiformes","Alcidae (Auks, Murres, and Puffins)","Synthliboramphus craveri","Craveri's Murrelet","Person","human"
"Charadriiformes","Alcidae (Auks, Murres, and Puffins)","Brachyramphus brevirostris","Kittlitz's Murrelet","Person","human"
"Charadriiformes","Alcidae (Auks, Murres, and Puffins)","Brachyramphus marmoratus","Marbled Murrelet","Both sexes physical trait","physical trait"
"Passeriformes","Sittidae (Nuthatches)","Sitta pusilla","Brown-headed Nuthatch","Both sexes physical trait","physical trait"
"Passeriformes","Sittidae (Nuthatches)","Sitta pygmaea","Pygmy Nuthatch","Size","physical trait"
"Passeriformes","Sittidae (Nuthatches)","Sitta canadensis","Red-breasted Nuthatch","Both sexes physical trait","physical trait"
"Passeriformes","Sittidae (Nuthatches)","Sitta carolinensis","White-breasted Nuthatch","Both sexes physical trait","physical trait"
"Passeriformes","Icteridae (Troupials and Allies)","Icterus graduacauda","Audubon's Oriole","Person","human"
"Passeriformes","Icteridae (Troupials and Allies)","Icterus galbula","Baltimore Oriole","Miscellaneous","human"
"Passeriformes","Icteridae (Troupials and Allies)","Icterus bullockii","Bullock's Oriole","Person","human"
"Passeriformes","Icteridae (Troupials and Allies)","Icterus cucullatus","Hooded Oriole","Male physical trait","physical trait"
"Passeriformes","Icteridae (Troupials and Allies)","Icterus spurius","Orchard Oriole","Natural History","natural history"
"Passeriformes","Icteridae (Troupials and Allies)","Icterus parisorum","Scott's Oriole","Person","human"
"Passeriformes","Parulidae (New World Warblers)","Seiurus aurocapilla","Ovenbird","Behavior","natural history"
"Strigiformes","Strigidae (Owls)","Strix varia","Barred Owl","Both sexes physical trait","physical trait"
"Strigiformes","Strigidae (Owls)","Athene cunicularia","Burrowing Owl","Natural History","natural history"
"Strigiformes","Strigidae (Owls)","Micrathene whitneyi","Elf Owl","Size","physical trait"
"Strigiformes","Strigidae (Owls)","Glaucidium brasilianum","Ferruginous Pygmy-Owl","Both sexes physical trait","physical trait"
"Strigiformes","Strigidae (Owls)","Strix nebulosa","Great Gray Owl","Size","physical trait"
"Strigiformes","Strigidae (Owls)","Bubo virginianus","Great Horned Owl","Both sexes physical trait","physical trait"
"Strigiformes","Strigidae (Owls)","Asio flammeus","Short-eared Owl","Both sexes physical trait","physical trait"
"Strigiformes","Strigidae (Owls)","Bubo scandiacus","Snowy Owl","Both sexes physical trait","physical trait"
"Strigiformes","Strigidae (Owls)","Strix occidentalis","Spotted Owl","Both sexes physical trait","physical trait"
"Charadriiformes","Haematopodidae (Oystercatchers)","Haematopus palliatus","American Oystercatcher","Geographic Location","natural history"
"Charadriiformes","Haematopodidae (Oystercatchers)","Haematopus bachmani","Black Oystercatcher","Both sexes physical trait","physical trait"
"Psittaciformes","Psittacidae (New World and African Parrots)","Rhynchopsitta pachyrhyncha","Thick-billed Parrot","Both sexes physical trait","physical trait"
"Pelecaniformes","Pelecanidae (Pelicans)","Pelecanus erythrorhynchos","American White Pelican","Geographic Location","natural history"
"Pelecaniformes","Pelecanidae (Pelicans)","Pelecanus occidentalis","Brown Pelican","Both sexes physical trait","physical trait"
"Procellariiformes","Procellariidae (Shearwaters and Petrels)","Pterodroma hasitata","Black-capped Petrel","Both sexes physical trait","physical trait"
"Procellariiformes","Procellariidae (Shearwaters and Petrels)","Bulweria bulwerii","Bulwer's Petrel","Person","human"
"Passeriformes","Tyrannidae (Tyrant Flycatchers)","Contopus sordidulus","Western Wood-Pewee","Geographic Location","natural history"
"Passeriformes","Ptiliogonatidae (Silky-flycatchers)","Phainopepla nitens","Phainopepla","Male physical trait","physical trait"
"Charadriiformes","Scolopacidae (Sandpipers and Allies)","Phalaropus fulicarius","Red Phalarope","Both sexes physical trait","physical trait"
"Charadriiformes","Scolopacidae (Sandpipers and Allies)","Phalaropus tricolor","Wilson's Phalarope","Person","human"
"Passeriformes","Tyrannidae (Tyrant Flycatchers)","Sayornis nigricans","Black Phoebe","Both sexes physical trait","physical trait"
"Passeriformes","Tyrannidae (Tyrant Flycatchers)","Sayornis saya","Say's Phoebe","Person","human"
"Columbiformes","Columbidae (Pigeons and Doves)","Patagioenas fasciata","Band-tailed Pigeon","Both sexes physical trait","physical trait"
"Columbiformes","Columbidae (Pigeons and Doves)","Ectopistes migratorius","Passenger Pigeon","Natural History","natural history"
"Columbiformes","Columbidae (Pigeons and Doves)","Patagioenas flavirostris","Red-billed Pigeon","Both sexes physical trait","physical trait"
"Columbiformes","Columbidae (Pigeons and Doves)","Patagioenas leucocephala","White-crowned Pigeon","Both sexes physical trait","physical trait"
"Passeriformes","Motacillidae (Wagtails and Pipits)","Anthus rubescens","American Pipit","Geographic Location","natural history"
"Passeriformes","Motacillidae (Wagtails and Pipits)","Anthus pratensis","Meadow Pipit","Natural History","natural history"
"Passeriformes","Motacillidae (Wagtails and Pipits)","Anthus cervinus","Red-throated Pipit","Both sexes physical trait","physical trait"
"Passeriformes","Motacillidae (Wagtails and Pipits)","Anthus spragueii","Sprague's Pipit","Person","human"
"Charadriiformes","Charadriidae (Plovers and Lapwings)","Pluvialis dominica","American Golden-Plover","Geographic Location","natural history"
"Charadriiformes","Charadriidae (Plovers and Lapwings)","Pluvialis squatarola","Black-bellied Plover","Both sexes physical trait","physical trait"
"Charadriiformes","Charadriidae (Plovers and Lapwings)","Charadrius montanus","Mountain Plover","Natural History","natural history"
"Charadriiformes","Charadriidae (Plovers and Lapwings)","Charadrius melodus","Piping Plover","Behavior","natural history"
"Charadriiformes","Charadriidae (Plovers and Lapwings)","Charadrius semipalmatus","Semipalmated Plover","Both sexes physical trait","physical trait"
"Charadriiformes","Charadriidae (Plovers and Lapwings)","Charadrius nivosus","Snowy Plover","Both sexes physical trait","physical trait"
"Charadriiformes","Charadriidae (Plovers and Lapwings)","Charadrius wilsonia","Wilson's Plover","Person","human"
"Galliformes","Phasianidae (Pheasants, Grouse, and Allies)","Lagopus muta","Rock Ptarmigan","Natural History","natural history"
"Galliformes","Phasianidae (Pheasants, Grouse, and Allies)","Lagopus leucura","White-tailed Ptarmigan","Both sexes physical trait","physical trait"
"Galliformes","Phasianidae (Pheasants, Grouse, and Allies)","Lagopus lagopus","Willow Ptarmigan","Natural History","natural history"
"Charadriiformes","Alcidae (Auks, Murres, and Puffins)","Fratercula corniculata","Horned Puffin","Both sexes physical trait","physical trait"
"Charadriiformes","Alcidae (Auks, Murres, and Puffins)","Fratercula cirrhata","Tufted Puffin","Both sexes physical trait","physical trait"
"Gruiformes","Rallidae (Rails, Gallinules, and Coots)","Laterallus jamaicensis","Black Rail","Both sexes physical trait","physical trait"
"Gruiformes","Rallidae (Rails, Gallinules, and Coots)","Rallus crepitans","Clapper Rail","Behavior","natural history"
"Gruiformes","Rallidae (Rails, Gallinules, and Coots)","Rallus elegans","King Rail","Miscellaneous","human"
"Gruiformes","Rallidae (Rails, Gallinules, and Coots)","Rallus limicola","Virginia Rail","Geographic Location","natural history"
"Gruiformes","Rallidae (Rails, Gallinules, and Coots)","Coturnicops noveboracensis","Yellow Rail","Both sexes physical trait","physical trait"
"Passeriformes","Corvidae (Crows, Jays, and Magpies)","Corvus albicollis","White-necked Raven","Both sexes physical trait","physical trait"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Aythya americana","Redhead","Male physical trait","physical trait"
"Passeriformes","Parulidae (New World Warblers)","Setophaga ruticilla","American Redstart","Geographic Location","natural history"
"Passeriformes","Parulidae (New World Warblers)","Myioborus pictus","Painted Redstart","Both sexes physical trait","physical trait"
"Passeriformes","Turdidae (Thrushes and Allies)","Turdus migratorius","American Robin","Geographic Location","natural history"
"Charadriiformes","Scolopacidae (Sandpipers and Allies)","Calidris pugnax","Ruff","Male physical trait","physical trait"
"Charadriiformes","Scolopacidae (Sandpipers and Allies)","Calidris alba","Sanderling","Behavior","natural history"
"Charadriiformes","Scolopacidae (Sandpipers and Allies)","Calidris bairdii","Baird's Sandpiper","Person","human"
"Charadriiformes","Scolopacidae (Sandpipers and Allies)","Calidris subruficollis","Buff-breasted Sandpiper","Both sexes physical trait","physical trait"
"Charadriiformes","Scolopacidae (Sandpipers and Allies)","Calidris ferruginea","Curlew Sandpiper","Both sexes physical trait","physical trait"
"Charadriiformes","Scolopacidae (Sandpipers and Allies)","Tringa ochropus","Green Sandpiper","Both sexes physical trait","physical trait"
"Charadriiformes","Scolopacidae (Sandpipers and Allies)","Calidris minutilla","Least Sandpiper","Size","physical trait"
"Charadriiformes","Scolopacidae (Sandpipers and Allies)","Calidris melanotos","Pectoral Sandpiper","Male physical trait","physical trait"
"Charadriiformes","Scolopacidae (Sandpipers and Allies)","Calidris maritima","Purple Sandpiper","Both sexes physical trait","physical trait"
"Charadriiformes","Scolopacidae (Sandpipers and Allies)","Calidris pusilla","Semipalmated Sandpiper","Both sexes physical trait","physical trait"
"Charadriiformes","Scolopacidae (Sandpipers and Allies)","Calidris acuminata","Sharp-tailed Sandpiper","Both sexes physical trait","physical trait"
"Charadriiformes","Scolopacidae (Sandpipers and Allies)","Tringa solitaria","Solitary Sandpiper","Behavior","natural history"
"Charadriiformes","Scolopacidae (Sandpipers and Allies)","Actitis macularius","Spotted Sandpiper","Both sexes physical trait","physical trait"
"Charadriiformes","Scolopacidae (Sandpipers and Allies)","Calidris himantopus","Stilt Sandpiper","Both sexes physical trait","physical trait"
"Charadriiformes","Scolopacidae (Sandpipers and Allies)","Calidris mauri","Western Sandpiper","Geographic Location","natural history"
