"ORDER","FAMILY","SCI_NAME","PRIMARY_COM_NAME","DECISION_FINAL","GENERAL_CAT"
"Struthioniformes","Struthionidae (Ostriches)","Struthio_camelus","Common Ostrich","Miscellaneous","human"
"Struthioniformes","Struthionidae (Ostriches)","Struthio_molybdophanes","Somali Ostrich","Geographic Location","natural history"
"Casuariiformes","Casuariidae (Cassowaries and Emu)","Casuarius_casuarius","Southern Cassowary","Geographic Location","natural history"
"Casuariiformes","Casuariidae (Cassowaries and Emu)","Casuarius_bennetti","Dwarf Cassowary","Size","physical trait"
"Casuariiformes","Casuariidae (Cassowaries and Emu)","Casuarius_unappendiculatus","Northern Cassowary","Geographic Location","natural history"
"Casuariiformes","Casuariidae (Cassowaries and Emu)","Dromaius_novaehollandiae","Emu","Miscellaneous","human"
"Apterygiformes","Apterygidae (Kiwis)","Apteryx_australis","Southern Brown Kiwi","Geographic Location","natural history"
"Apterygiformes","Apterygidae (Kiwis)","Apteryx_rowi","Okarito Brown Kiwi","Geographic Location","natural history"
"Apterygiformes","Apterygidae (Kiwis)","Apteryx_mantelli","North Island Brown Kiwi","Geographic Location","natural history"
"Apterygiformes","Apterygidae (Kiwis)","Apteryx_owenii","Little Spotted Kiwi","Size","physical trait"
"Apterygiformes","Apterygidae (Kiwis)","Apteryx_haastii","Great Spotted Kiwi","Size","physical trait"
"Rheiformes","Rheidae (Rheas)","Rhea_americana","Greater Rhea","Size","physical trait"
"Rheiformes","Rheidae (Rheas)","Rhea_pennata","Lesser Rhea","Size","physical trait"
"Tinamiformes","Tinamidae (Tinamous)","Nothocercus_julius","Tawny-breasted Tinamou","Both sexes physical trait","physical trait"
"Tinamiformes","Tinamidae (Tinamous)","Nothocercus_bonapartei","Highland Tinamou","Natural History","natural history"
"Tinamiformes","Tinamidae (Tinamous)","Nothocercus_nigrocapillus","Hooded Tinamou","Both sexes physical trait","physical trait"
"Tinamiformes","Tinamidae (Tinamous)","Tinamus_tao","Gray Tinamou","Both sexes physical trait","physical trait"
"Tinamiformes","Tinamidae (Tinamous)","Tinamus_solitarius","Solitary Tinamou","Behavior","natural history"
"Tinamiformes","Tinamidae (Tinamous)","Tinamus_osgoodi","Black Tinamou","Both sexes physical trait","physical trait"
"Tinamiformes","Tinamidae (Tinamous)","Tinamus_major","Great Tinamou","Size","physical trait"
"Tinamiformes","Tinamidae (Tinamous)","Tinamus_guttatus","White-throated Tinamou","Both sexes physical trait","physical trait"
"Tinamiformes","Tinamidae (Tinamous)","Crypturellus_cinereus","Cinereous Tinamou","Both sexes physical trait","physical trait"
"Tinamiformes","Tinamidae (Tinamous)","Crypturellus_berlepschi","Berlepsch's Tinamou","Person","human"
"Tinamiformes","Tinamidae (Tinamous)","Crypturellus_soui","Little Tinamou","Size","physical trait"
"Tinamiformes","Tinamidae (Tinamous)","Crypturellus_ptaritepui","Tepui Tinamou","Geographic Location","natural history"
"Tinamiformes","Tinamidae (Tinamous)","Crypturellus_obsoletus","Brown Tinamou","Both sexes physical trait","physical trait"
"Tinamiformes","Tinamidae (Tinamous)","Crypturellus_undulatus","Undulated Tinamou","Both sexes physical trait","physical trait"
"Tinamiformes","Tinamidae (Tinamous)","Crypturellus_transfasciatus","Pale-browed Tinamou","Both sexes physical trait","physical trait"
"Tinamiformes","Tinamidae (Tinamous)","Crypturellus_strigulosus","Brazilian Tinamou","Geographic Location","natural history"
"Tinamiformes","Tinamidae (Tinamous)","Crypturellus_duidae","Gray-legged Tinamou","Both sexes physical trait","physical trait"
"Tinamiformes","Tinamidae (Tinamous)","Crypturellus_erythropus","Red-legged Tinamou","Both sexes physical trait","physical trait"
"Tinamiformes","Tinamidae (Tinamous)","Crypturellus_noctivagus","Yellow-legged Tinamou","Both sexes physical trait","physical trait"
"Tinamiformes","Tinamidae (Tinamous)","Crypturellus_atrocapillus","Black-capped Tinamou","Both sexes physical trait","physical trait"
"Tinamiformes","Tinamidae (Tinamous)","Crypturellus_boucardi","Slaty-breasted Tinamou","Both sexes physical trait","physical trait"
"Tinamiformes","Tinamidae (Tinamous)","Crypturellus_kerriae","Choco Tinamou","Geographic Location","natural history"
"Tinamiformes","Tinamidae (Tinamous)","Crypturellus_variegatus","Variegated Tinamou","Both sexes physical trait","physical trait"
"Tinamiformes","Tinamidae (Tinamous)","Crypturellus_cinnamomeus","Thicket Tinamou","Natural History","natural history"
"Tinamiformes","Tinamidae (Tinamous)","Crypturellus_brevirostris","Rusty Tinamou","Both sexes physical trait","physical trait"
"Tinamiformes","Tinamidae (Tinamous)","Crypturellus_bartletti","Bartlett's Tinamou","Person","human"
"Tinamiformes","Tinamidae (Tinamous)","Crypturellus_parvirostris","Small-billed Tinamou","Both sexes physical trait","physical trait"
"Tinamiformes","Tinamidae (Tinamous)","Crypturellus_casiquiare","Barred Tinamou","Both sexes physical trait","physical trait"
"Tinamiformes","Tinamidae (Tinamous)","Crypturellus_tataupa","Tataupa Tinamou","Local language","human"
"Tinamiformes","Tinamidae (Tinamous)","Rhynchotus_rufescens","Red-winged Tinamou","Both sexes physical trait","physical trait"
"Tinamiformes","Tinamidae (Tinamous)","Rhynchotus_maculicollis","Huayco Tinamou","Local language","human"
"Tinamiformes","Tinamidae (Tinamous)","Nothoprocta_taczanowskii","Taczanowski's Tinamou","Person","human"
"Tinamiformes","Tinamidae (Tinamous)","Nothoprocta_ornata","Ornate Tinamou","Miscellaneous","human"
"Tinamiformes","Tinamidae (Tinamous)","Nothoprocta_perdicaria","Chilean Tinamou","Geographic Location","natural history"
"Tinamiformes","Tinamidae (Tinamous)","Nothoprocta_cinerascens","Brushland Tinamou","Natural History","natural history"
"Tinamiformes","Tinamidae (Tinamous)","Nothoprocta_pentlandii","Andean Tinamou","Geographic Location","natural history"
"Tinamiformes","Tinamidae (Tinamous)","Nothoprocta_curvirostris","Curve-billed Tinamou","Both sexes physical trait","physical trait"
"Tinamiformes","Tinamidae (Tinamous)","Nothura_boraquira","White-bellied Nothura","Both sexes physical trait","physical trait"
"Tinamiformes","Tinamidae (Tinamous)","Nothura_minor","Lesser Nothura","Size","physical trait"
"Tinamiformes","Tinamidae (Tinamous)","Nothura_darwinii","Darwin's Nothura","Person","human"
"Tinamiformes","Tinamidae (Tinamous)","Nothura_maculosa","Spotted Nothura","Both sexes physical trait","physical trait"
"Tinamiformes","Tinamidae (Tinamous)","Taoniscus_nanus","Dwarf Tinamou","Size","physical trait"
"Tinamiformes","Tinamidae (Tinamous)","Eudromia_elegans","Elegant Crested-Tinamou","Miscellaneous","human"
"Tinamiformes","Tinamidae (Tinamous)","Eudromia_formosa","Quebracho Crested-Tinamou","Natural History","natural history"
"Tinamiformes","Tinamidae (Tinamous)","Tinamotis_pentlandii","Puna Tinamou","Natural History","natural history"
"Tinamiformes","Tinamidae (Tinamous)","Tinamotis_ingoufi","Patagonian Tinamou","Geographic Location","natural history"
"Anseriformes","Anhimidae (Screamers)","Anhima_cornuta","Horned Screamer","Both sexes physical trait","physical trait"
"Anseriformes","Anhimidae (Screamers)","Chauna_torquata","Southern Screamer","Geographic Location","natural history"
"Anseriformes","Anhimidae (Screamers)","Chauna_chavaria","Northern Screamer","Geographic Location","natural history"
"Anseriformes","Anseranatidae (Magpie Goose)","Anseranas_semipalmata","Magpie Goose","Both sexes physical trait","physical trait"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Dendrocygna_guttata","Spotted Whistling-Duck","Both sexes physical trait","physical trait"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Dendrocygna_eytoni","Plumed Whistling-Duck","Both sexes physical trait","physical trait"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Dendrocygna_viduata","White-faced Whistling-Duck","Both sexes physical trait","physical trait"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Dendrocygna_autumnalis","Black-bellied Whistling-Duck","Both sexes physical trait","physical trait"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Dendrocygna_arborea","West Indian Whistling-Duck","Geographic Location","natural history"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Dendrocygna_bicolor","Fulvous Whistling-Duck","Both sexes physical trait","physical trait"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Dendrocygna_arcuata","Wandering Whistling-Duck","Behavior","natural history"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Dendrocygna_javanica","Lesser Whistling-Duck","Size","physical trait"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Thalassornis_leuconotus","White-backed Duck","Both sexes physical trait","physical trait"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Anser_indicus","Bar-headed Goose","Both sexes physical trait","physical trait"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Anser_canagicus","Emperor Goose","Both sexes physical trait","physical trait"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Anser_caerulescens","Snow Goose","Both sexes physical trait","physical trait"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Anser_rossii","Ross's Goose","Person","human"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Anser_anser","Graylag Goose","Both sexes physical trait","physical trait"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Anser_cygnoides","Swan Goose","Both sexes physical trait","physical trait"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Anser_albifrons","Greater White-fronted Goose","Size","physical trait"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Anser_erythropus","Lesser White-fronted Goose","Size","physical trait"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Anser_fabalis","Taiga Bean-Goose","Natural History","natural history"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Anser_serrirostris","Tundra Bean-Goose","Natural History","natural history"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Anser_brachyrhynchus","Pink-footed Goose","Both sexes physical trait","physical trait"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Branta_bernicla","Brant","Local language","human"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Branta_leucopsis","Barnacle Goose","Miscellaneous","human"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Branta_hutchinsii","Cackling Goose","Behavior","natural history"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Branta_canadensis","Canada Goose","Geographic Location","natural history"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Branta_sandvicensis","Hawaiian Goose","Geographic Location","natural history"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Branta_ruficollis","Red-breasted Goose","Both sexes physical trait","physical trait"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Cereopsis_novaehollandiae","Cape Barren Goose","Geographic Location","natural history"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Stictonetta_naevosa","Freckled Duck","Both sexes physical trait","physical trait"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Cyanochen_cyanoptera","Blue-winged Goose","Both sexes physical trait","physical trait"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Cygnus_olor","Mute Swan","Behavior","natural history"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Cygnus_atratus","Black Swan","Both sexes physical trait","physical trait"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Cygnus_melancoryphus","Black-necked Swan","Both sexes physical trait","physical trait"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Cygnus_buccinator","Trumpeter Swan","Behavior","natural history"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Cygnus_columbianus","Tundra Swan","Natural History","natural history"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Cygnus_cygnus","Whooper Swan","Behavior","natural history"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Coscoroba_coscoroba","Coscoroba Swan","Behavior","natural history"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Sarkidiornis_melanotos","Knob-billed Duck","Male physical trait","physical trait"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Sarkidiornis_sylvicola","Comb Duck","Male physical trait","physical trait"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Pteronetta_hartlaubii","Hartlaub's Duck","Person","human"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Oressochen_jubatus","Orinoco Goose","Geographic Location","natural history"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Oressochen_melanopterus","Andean Goose","Geographic Location","natural history"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Chloephaga_picta","Upland Goose","Natural History","natural history"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Chloephaga_hybrida","Kelp Goose","Natural History","natural history"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Chloephaga_poliocephala","Ashy-headed Goose","Both sexes physical trait","physical trait"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Chloephaga_rubidiceps","Ruddy-headed Goose","Both sexes physical trait","physical trait"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Radjah_radjah","Radjah Shelduck","Local language","human"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Alopochen_aegyptiaca","Egyptian Goose","Geographic Location","natural history"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Alopochen_mauritiana","Mauritius Shelduck","Geographic Location","natural history"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Alopochen_kervazoi","Reunion Shelduck","Geographic Location","natural history"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Tadorna_ferruginea","Ruddy Shelduck","Both sexes physical trait","physical trait"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Tadorna_cana","South African Shelduck","Geographic Location","natural history"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Tadorna_tadornoides","Australian Shelduck","Geographic Location","natural history"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Tadorna_variegata","Paradise Shelduck","Miscellaneous","human"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Tadorna_tadorna","Common Shelduck","Miscellaneous","human"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Tadorna_cristata","Crested Shelduck","Both sexes physical trait","physical trait"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Plectropterus_gambensis","Spur-winged Goose","Both sexes physical trait","physical trait"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Tachyeres_patachonicus","Flying Steamer-Duck","Behavior","natural history"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Tachyeres_pteneres","Flightless Steamer-Duck","Behavior","natural history"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Tachyeres_brachypterus","Falkland Steamer-Duck","Geographic Location","natural history"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Tachyeres_leucocephalus","White-headed Steamer-Duck","Male physical trait","physical trait"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Lophonetta_specularioides","Crested Duck","Both sexes physical trait","physical trait"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Speculanas_specularis","Spectacled Duck","Both sexes physical trait","physical trait"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Cairina_moschata","Muscovy Duck","Miscellaneous","human"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Nettapus_pulchellus","Green Pygmy-Goose","Male physical trait","physical trait"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Nettapus_coromandelianus","Cotton Pygmy-Goose","Male physical trait","physical trait"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Nettapus_auritus","African Pygmy-Goose","Geographic Location","natural history"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Callonetta_leucophrys","Ringed Teal","Male physical trait","physical trait"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Aix_sponsa","Wood Duck","Natural History","natural history"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Aix_galericulata","Mandarin Duck","Geographic Location","natural history"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Chenonetta_jubata","Maned Duck","Male physical trait","physical trait"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Chenonetta_finschi","Finsch's Duck","Person","human"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Amazonetta_brasiliensis","Brazilian Teal","Geographic Location","natural history"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Hymenolaimus_malacorhynchos","Blue Duck","Both sexes physical trait","physical trait"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Merganetta_armata","Torrent Duck","Natural History","natural history"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Salvadorina_waigiuensis","Salvadori's Teal","Person","human"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Sibirionetta_formosa","Baikal Teal","Geographic Location","natural history"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Spatula_querquedula","Garganey","Miscellaneous","human"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Spatula_hottentota","Blue-billed Teal","Both sexes physical trait","physical trait"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Spatula_versicolor","Silver Teal","Both sexes physical trait","physical trait"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Spatula_puna","Puna Teal","Natural History","natural history"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Spatula_discors","Blue-winged Teal","Both sexes physical trait","physical trait"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Spatula_cyanoptera","Cinnamon Teal","Male physical trait","physical trait"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Spatula_platalea","Red Shoveler","Male physical trait","physical trait"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Spatula_smithii","Cape Shoveler","Geographic Location","natural history"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Spatula_rhynchotis","Australasian Shoveler","Geographic Location","natural history"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Spatula_clypeata","Northern Shoveler","Geographic Location","natural history"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Mareca_strepera","Gadwall","Miscellaneous","human"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Mareca_falcata","Falcated Duck","Male physical trait","physical trait"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Mareca_penelope","Eurasian Wigeon","Geographic Location","natural history"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Mareca_americana","American Wigeon","Geographic Location","natural history"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Mareca_sibilatrix","Chiloe Wigeon","Geographic Location","natural history"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Mareca_marecula","Amsterdam Duck","Geographic Location","natural history"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Anas_sparsa","African Black Duck","Geographic Location","natural history"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Anas_undulata","Yellow-billed Duck","Both sexes physical trait","physical trait"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Anas_melleri","Meller's Duck","Person","human"
