"ORDER","FAMILY","SCI_NAME","PRIMARY_COM_NAME","CATEGORY_1_A","CATEGORY_2_A","REFERENCE_A","COMMENT_A","CATEGORY_1_B","CATEGORY_2_B","REFERENCE_B","COMMENT_B","CATEGORY_1_C","REFERENCE_C","COMMENT_C","CATEGORY_1_D","REFERENCE_D","COMMENT_D","CATEGORY_1_E","REFERENCE_E","COMMENT_E","ESM_AJS_FINAL_DECISION","DECISION_FINAL","GENERAL_CAT"
NA,NA,NA,"American Osprey","Geographic Location",NA,"","","Geographic Location",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Geographic Location","natural history"
NA,NA,NA,"American Barn Owl","Geographic Location",NA,"","","Geographic Location",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Geographic Location","natural history"
NA,NA,NA,"American Long-eared Owl","Geographic Location",NA,"","","Geographic Location",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Geographic Location","natural history"
NA,NA,NA,"Flammulated Screech-Owl","Both sexes physical trait",NA,"","","Both sexes physical trait",NA,"https://www.merriam-webster.com/dictionary/flammulated","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Both sexes physical trait","physical trait"
NA,NA,NA,"Hawk Owl","Behavior",NA,"https://raptor.umn.edu/about-raptors/raptors-north-america/northern-hawk-owl#:~:text=Northern%20hawk%20owls%20mainly%20feed,the%20darkness%20of%20northern%20winters.","named for hawk-like appearence and behavior...","Behavior",NA,"https://raptor.umn.edu/about-raptors/raptors-north-america/northern-hawk-owl ","Looks like an owl but has hawk features and behaves like a hawk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Behavior","natural history"
NA,NA,NA,"Pygmy-Owl","No Unique Identifier",NA,"","","Size",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No Unique Identifier","human"
NA,NA,NA,"Richardson's Owl","Person",NA,"","","Person",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Person","human"
NA,NA,NA,"Saw-whet Owl","No Unique Identifier",NA,"","","Behavior",NA,"https://www.massaudubon.org/our-work/birds-wildlife/bird-conservation-research/breeding-bird-atlases/find-a-bird?id=2736 ","Sounds like a sawmill",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Behavior","natural history"
NA,NA,NA,"Screech-Owl","No Unique Identifier",NA,"","","No Unique Identifier",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No Unique Identifier","human"
NA,NA,NA,"Oystercatcher","No Unique Identifier",NA,"","","No Unique Identifier",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No Unique Identifier","human"
NA,NA,NA,"Parauque","No Unique Identifier",NA,"","","Local language",NA,"https://digitalcommons.usf.edu/cgi/viewcontent.cgi?article=16368&context=auk ","""an onomatopoeiec version, by the Mexicans, of the bird's call""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Behavior","natural history"
NA,NA,NA,"Carolina Paroquet","Geographic Location",NA,"","","Geographic Location",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Geographic Location","natural history"
NA,NA,NA,"California Partridge","Geographic Location",NA,"","","Geographic Location",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Geographic Location","natural history"
NA,NA,NA,"Gambel's Partridge","Person",NA,"","","Person",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Person","human"
NA,NA,NA,"Massena Partridge","Person",NA,"","","Person",NA,"https://www.merriam-webster.com/dictionary/Massena%20quail ","""André Masséna †1817 French marshal""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Person","human"
NA,NA,NA,"Mountain Partridge","Natural History",NA,"","","Natural History",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Natural History","natural history"
