"","study","doi","contribution"
"76","pg_2872","http://dx.doi.org/10.1016/j.ympev.2010.01.023",0.389827362168183
"77","ot_2234","http://dx.doi.org/10.1007/s10336-020-01766-9",0.380545758307035
"78","pg_2600","http://dx.doi.org/10.1016/j.ympev.2013.06.019",0.371264154445888
"79","pg_2869","http://dx.doi.org/10.1016/j.ympev.2013.02.012",0.371264154445888
"80","ot_2156","http://dx.doi.org/10.1080/01584197.2019.1595662",0.361982550584741
"81","ot_2085","http://dx.doi.org/10.1093/auk/ukz070",0.352700946723594
"82","ot_2151","http://dx.doi.org/10.1111/ibi.12683",0.352700946723594
"83","ot_854","http://dx.doi.org/10.1016/j.ympev.2008.05.029",0.343419342862447
"84","ot_773","http://dx.doi.org/10.1111/zoj.12483",0.334137739001299
"85","pg_2858","http://dx.doi.org/10.1080/10635150802044003",0.334137739001299
"86","ot_2188","http://dx.doi.org/10.1007/s10336-019-01632-3",0.324856135140152
"87","pg_2805","http://dx.doi.org/10.1093/molbev/msn160",0.324856135140152
"88","ot_2152","http://dx.doi.org/10.7717/peerj.9249",0.315574531279005
"89","ot_763","http://dx.doi.org/10.1186/1471-2148-9-235",0.306292927417858
"90","ot_1286","http://dx.doi.org/10.1016/j.ympev.2018.03.012",0.297011323556711
"91","ot_2125","http://dx.doi.org/10.3390/d12110428",0.287729719695563
"92","ot_2169","http://dx.doi.org/10.1016/j.ympev.2012.11.004",0.287729719695563
"93","ot_2183","http://dx.doi.org/10.1016/j.ympev.2022.107559",0.287729719695563
"94","pg_2845","http://dx.doi.org/10.1007/s10336-014-1063-7",0.287729719695563
"95","ot_757","http://dx.doi.org/10.1186/1471-2148-14-8",0.278448115834416
"96","ot_794","http://dx.doi.org/10.1111/j.1463-6409.2006.00267.x",0.278448115834416
"97","pg_1887","http://dx.doi.org/10.1525/auk.2008.06161",0.278448115834416
"98","pg_2806","http://dx.doi.org/10.1016/j.ympev.2011.03.017",0.278448115834416
"99","ot_159","http://dx.doi.org/10.1016/j.ympev.2006.02.021",0.269166511973269
"100","ot_2080","https://doi.org/10.1093/auk/ukaa016",0.269166511973269
"101","pg_2876","https://sora.unm.edu/sites/default/files/journals/on/v015s/p0293-p0300.pdf",0.259884908112122
"102","ot_156","http://dx.doi.org/10.1016/s1055-7903(03)00179-9",0.250603304250975
"103","ot_1997","http://dx.doi.org/10.1016/j.ympev.2004.12.010",0.250603304250975
"104","ot_843","http://dx.doi.org/10.1016/j.ympev.2007.09.011",0.250603304250975
"105","ot_179","http://dx.doi.org/10.1016/j.ympev.2011.07.009",0.241321700389827
"106","ot_749","http://dx.doi.org/10.1016/j.ympev.2016.05.036",0.241321700389827
"107","pg_2015","http://dx.doi.org/10.1186/1471-2148-11-313",0.241321700389827
"108","pg_2850","http://dx.doi.org/10.1016/j.ympev.2013.08.019",0.241321700389827
"109","ot_837","http://dx.doi.org/10.1642/0004-8038(2006)123[487:ampoka]2.0.co;2",0.23204009652868
"110","pg_2796","http://dx.doi.org/10.1016/j.ympev.2013.06.024",0.23204009652868
"111","ot_150","http://dx.doi.org/10.1016/j.ympev.2013.03.004",0.222758492667533
"112","ot_841","http://dx.doi.org/10.1111/j.1096-0031.2007.00178.x",0.222758492667533
"113","ot_103","http://dx.doi.org/10.1016/j.ympev.2014.05.026",0.213476888806386
"114","ot_312","http://dx.doi.org/10.1016/j.ympev.2015.04.021",0.213476888806386
"115","ot_832","http://dx.doi.org/10.1016/j.ympev.2006.04.015",0.213476888806386
"116","ot_874","http://dx.doi.org/10.1016/j.ympev.2006.05.007",0.213476888806386
